trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
34,35,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400182,0.180182,success,1,0.005989,0.354053,0.354053,0.348064,0.348064,1.354115,1,0.797690,0.248048,0.000043,-0.000139,0.003291,0.1891,2.000,2.060,677,2026-09-11T18:49:59.143,
35,36,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400432,0.120432,success,1,0.007994,0.302007,0.302007,0.294013,0.294013,1.302062,1,0.638711,0.182000,0.000000,-0.001002,0.003287,0.1290,2.000,2.014,651,2026-09-11T18:50:02.911,
36,37,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400451,0.270451,success,1,0.007990,0.436019,0.436019,0.428029,0.428029,1.436162,1,0.977732,0.324013,0.002917,0.001887,0.003283,0.2883,2.000,2.049,718,2026-09-11T18:50:06.013,
37,38,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.399910,0.269910,success,1,0.007990,0.452015,0.452015,0.444025,0.444025,1.452081,1,0.976951,0.332008,0.003379,0.002236,0.003272,0.2879,2.000,2.020,726,2026-09-11T18:50:10.776,
38,39,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400557,0.180557,success,1,0.007994,0.380039,0.380039,0.372045,0.372045,1.380144,1,0.801408,0.234021,0.000000,-0.000252,0.003264,0.1841,2.000,2.027,690,2026-09-11T18:50:15.562,
39,40,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400159,0.150159,success,1,0.005989,0.312006,0.312006,0.306017,0.306017,1.312084,1,0.735736,0.214001,0.000000,-0.000052,0.003264,0.1601,2.000,2.021,656,2026-09-11T18:50:19.352,
40,41,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400152,0.180152,success,1,0.005989,0.380011,0.380011,0.374022,0.374022,1.380091,1,0.801379,0.246003,0.000054,-0.000188,0.003264,0.1870,2.000,2.016,690,2026-09-11T18:50:22.775,
41,42,20.250000,1.000000,5.339850,4.409391,0.400000,0.197500,0.005000,0.400545,0.203045,success,1,0.007994,0.392015,0.392015,0.384021,0.384021,1.392093,1,0.858424,0.268008,0.000734,0.000424,0.003261,0.2270,2.000,2.016,696,2026-09-11T18:50:26.573,
42,43,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400739,0.152614,success,1,0.007997,0.364011,0.364011,0.356014,0.356014,1.364198,1,0.751895,0.218003,0.000314,0.000174,0.003253,0.1598,2.000,2.030,682,2026-09-11T18:50:30.587,
43,44,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400356,0.270356,success,1,0.008008,0.448016,0.448016,0.440008,0.440008,1.448084,1,0.986799,0.328009,0.004079,0.003170,0.003249,0.2887,2.000,2.022,724,2026-09-11T18:50:34.070,
44,45,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.400598,0.120598,success,1,0.005999,0.282019,0.282019,0.276020,0.276020,1.282093,1,0.640171,0.180013,0.000000,-0.000389,0.003242,0.1264,2.000,2.020,641,2026-09-11T18:50:38.842,
45,46,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.400212,0.303962,success,1,0.005991,0.474024,0.550029,0.468033,0.544038,1.550083,2,1.031006,0.340017,0.005076,0.003213,0.003242,0.2955,2.000,2.011,775,2026-09-11T18:50:41.928,
46,47,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400455,0.270455,success,1,0.007993,0.448015,0.448015,0.440022,0.440022,1.448100,1,0.987706,0.330008,0.004098,0.003235,0.003234,0.2901,2.000,2.026,724,2026-09-11T18:50:47.160,
